IDREGISTRO;TIPO;DATA;PESSOA/EMPRESA;PLANODECONTAS;VALOR  
501;Entrada;27/02/2023;Keith Ferguson;15;4110.02
502;Entrada;27/02/2023;Wyatt Roth;143;3686.06
503;Entrada;27/02/2023;Cullen Kelly;112;2752.55
504;Entrada;27/02/2023;Amela Turner;119;1687.96
505;Saida;27/02/2023;Nichole Kinney;64;2304.3
506;Saida;27/02/2023;Keefe Owens;154;4011.53
507;Saida;27/02/2023;Kay Weaver;22;2097.13
508;Entrada;27/02/2023;Camille Kennedy;121;2976.89
509;Entrada;27/02/2023;Evangeline Kelly;135;4795.51
510;Saida;27/02/2023;Ivan Maldonado;70;23.62
511;Entrada;27/02/2023;Kai Deleon;5;4433.22
512;Entrada;27/02/2023;Dean Stokes;84;704.96
513;Entrada;27/02/2023;Brenda Potter;172;583.33
514;Saida;27/02/2023;Timon Hooper;175;2352
515;Saida;27/02/2023;Tanisha Little;42;2231.05
516;Entrada;27/02/2023;Alfonso Daugherty;84;3562.33
517;Entrada;27/02/2023;Jack Horton;130;4153.47
518;Saida;27/02/2023;Samantha Mcdowell;191;4349.9
519;Entrada;27/02/2023;Solomon Mcfarland;164;2242.74
520;Saida;27/02/2023;Hunter Morin;3;2800.1
521;Saida;27/02/2023;Hop Mendoza;106;3162
522;Saida;27/02/2023;Wyatt Buckner;126;3252.08
523;Saida;27/02/2023;Stuart Lang;16;3155.3
524;Saida;27/02/2023;Steven Morgan;111;1418.16
525;Saida;27/02/2023;Brody Conner;121;4978.23
526;Entrada;27/02/2023;Phillip Noel;27;1085.08
527;Saida;27/02/2023;Wang Burris;13;1447.86
528;Entrada;27/02/2023;Marah Douglas;21;2947.3
529;Saida;27/02/2023;Merrill Lawrence;36;2504.44
530;Saida;27/02/2023;Willow Gallegos;82;3497.56
531;Entrada;27/02/2023;Baker Gonzalez;97;4482.59
532;Entrada;27/02/2023;Jerry Haney;165;756.04
533;Saida;27/02/2023;Macon Robertson;73;3408.17
534;Entrada;27/02/2023;Xenos Mcknight;129;733.28
535;Saida;27/02/2023;Jenna Cantu;180;4105.87
536;Entrada;27/02/2023;Miranda Fuller;90;3282.12
537;Entrada;27/02/2023;Paki Gardner;26;2447.56
538;Entrada;27/02/2023;Reese Dean;156;4792.23
539;Entrada;27/02/2023;Fitzgerald Bass;17;3663.39
540;Entrada;27/02/2023;Gannon Tanner;94;305.93
541;Entrada;27/02/2023;Trevor Rhodes;115;2149.8
542;Entrada;27/02/2023;Kitra Franks;122;2854.61
